23:40:50.499 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:50.499 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.1699704483803388 Minuten
23:40:50.561 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.1699704483803388 Minuten
23:40:50.857 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.1699704483803388 Minuten
23:40:51.169 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.1699704483803388 Minuten
23:40:51.466 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.1699704483803388 Minuten
23:40:51.559 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Neue Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 1 festgelegt!
23:40:51.575 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 1 wurde geändert, neue Geschwindigkeit ist 25.0 Kilometer pro Stunde
23:40:51.575 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:51.575 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad muss angepasst werden
23:40:51.575 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad erfolgreich angepasst
23:40:51.575 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.205554302236663 Minuten
