17:43:57.754 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.863 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.863 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 142 beträgt 27.77777777777778 nach Anwendung des Staufaktors 2.0,
17:43:57.863 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:57.957 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:57.957 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 112 beträgt 27.7778 nach Anwendung des Staufaktors 2.0,
17:43:57.957 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.051 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.051 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 17 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:58.051 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.160 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.160 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 9 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:58.160 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.253 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.253 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 40 beträgt 38.8888 nach Anwendung des Staufaktors 2.0,
17:43:58.253 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.363 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.363 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 35 beträgt 4.166666666666667 nach Anwendung des Staufaktors 0.5,
17:43:58.363 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.456 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.456 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 51 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:58.456 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.550 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.550 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 27 beträgt 6.94445 nach Anwendung des Staufaktors 0.5,
17:43:58.550 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.659 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.659 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 59 beträgt 27.77777777777778 nach Anwendung des Staufaktors 2.0,
17:43:58.659 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.753 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.753 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 6 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:58.753 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.862 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.862 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 114 beträgt 27.7778 nach Anwendung des Staufaktors 2.0,
17:43:58.862 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:58.955 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:58.955 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 99 beträgt 4.166666666666667 nach Anwendung des Staufaktors 0.5,
17:43:58.955 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:59.049 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:59.049 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 56 beträgt 27.77777777777778 nach Anwendung des Staufaktors 2.0,
17:43:59.049 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:59.158 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:59.158 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 156 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:59.158 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:59.252 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:59.252 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 193 beträgt 6.944444444444445 nach Anwendung des Staufaktors 0.5,
17:43:59.252 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:59.361 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:59.361 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 182 beträgt 6.94445 nach Anwendung des Staufaktors 0.5,
17:43:59.361 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:59.455 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:59.455 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 190 beträgt 27.77777777777778 nach Anwendung des Staufaktors 2.0,
17:43:59.455 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:59.548 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
17:43:59.548 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Geschwindigkeit von Weg 134 beträgt 27.77777777777778 nach Anwendung des Staufaktors 2.0,
17:43:59.548 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Pfad von empty nach empty
17:43:59.657 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - --------------------------------------------------------------------------------------------------------------------------------------------
