14:09:41.947 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 4.999999999999999 Kilometer pro Stunde für Knoten 150
14:09:42.540 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 2.4 Kilometer pro Stunde für Knoten 191
14:09:43.055 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 45.000036 Kilometer pro Stunde für Knoten 112
14:09:43.648 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 10.500008400000004 Kilometer pro Stunde für Knoten 75
14:09:44.241 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 9.600000000000003 Kilometer pro Stunde für Knoten 44
14:09:44.849 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 15.590983609274053 Kilometer pro Stunde für Knoten 166
14:09:45.442 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 74
14:09:46.050 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 4.000000000000001 Kilometer pro Stunde für Knoten 46
14:09:46.643 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 30.000000000000004 Kilometer pro Stunde für Knoten 71
14:09:47.251 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 3.0000000000000004 Kilometer pro Stunde für Knoten 90
14:09:47.844 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 40.000032 Kilometer pro Stunde für Knoten 92
14:09:48.453 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 15.000012000000003 Kilometer pro Stunde für Knoten 119
14:09:49.045 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 40.000000000000014 Kilometer pro Stunde für Knoten 170
