00:00:35.137 INFO  [d.f.a.osm.OsmMap] [] - Loading file maps/Altona-Wedel.osm
00:00:35.473 INFO  [d.f.a.osm.OsmMap] [] - Initializing
00:00:35.479 INFO  [d.f.a.osm.OsmMap] [] - Parsing nodes
00:00:35.598 INFO  [d.f.a.osm.OsmMap] [] - 7983 nodes parsed in 116 milliseconds
00:00:35.601 INFO  [d.f.a.osm.OsmMap] [] - Parsing ways
00:00:37.382 INFO  [d.f.a.osm.OsmMap] [] - 1914 ways parsed in 1780 milliseconds
00:00:37.385 INFO  [d.f.a.osm.OsmMap] [] - Computing node ways mapping
00:00:37.679 INFO  [d.f.a.osm.OsmMap] [] - Node ways mapping with 7983 elements computed, took 196 ms
00:00:37.681 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Initialized
00:00:37.685 INFO  [d.f.a.antnet.AntMap] [] - Preparing
00:00:37.736 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways data
00:00:37.866 INFO  [d.f.a.antnet.AntMap] [] - 208 ant ways data computed, took 129 ms
00:00:37.866 INFO  [d.f.a.antnet.AntMap] [] - Computing nodes
00:00:37.867 INFO  [d.f.a.antnet.AntMap] [] - 144 nodes computed
00:00:37.869 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initializing
00:00:37.881 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initialized
00:00:37.883 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways
00:00:37.938 INFO  [d.f.a.antnet.AntMap] [] - Ant ways computed
00:00:37.939 INFO  [d.f.a.antnet.AntMap] [] - Computing incoming and outgoing ways
00:00:37.955 WARN  [d.f.a.c.Statistics] [] - Unknown message: CometName(statistics)
00:00:37.961 INFO  [d.f.a.antnet.AntMap] [] - Incoming and outgoing ways computed
00:00:37.961 INFO  [d.f.a.antnet.AntMap] [] - Computing sources and destinations
00:00:37.963 INFO  [d.f.a.antnet.AntMap] [] - 140 sources and 140 destinations computed, took 1 ms
00:00:37.963 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Initialized
00:00:37.968 WARN  [d.f.a.c.UserInterface] [] - Unknown message: CometName(userInterface)
00:00:45.183 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 120.00000000000001 Kilometer pro Stunde für Knoten 51
00:00:45.337 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0 Kilometer pro Stunde für Knoten 74
00:00:45.537 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 12.50001 Kilometer pro Stunde für Knoten 75
00:00:45.738 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0 Kilometer pro Stunde für Knoten 50
00:00:45.937 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0 Kilometer pro Stunde für Knoten 144
00:00:46.138 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0 Kilometer pro Stunde für Knoten 30
00:00:46.337 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.00010616071754 Kilometer pro Stunde für Knoten 97
00:00:46.538 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 199.99999999999997 Kilometer pro Stunde für Knoten 192
00:00:46.737 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0 Kilometer pro Stunde für Knoten 52
00:00:46.937 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 50.0 Kilometer pro Stunde für Knoten 74
00:00:47.137 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 199.99999999999997 Kilometer pro Stunde für Knoten 204
00:00:47.338 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0000657101624 Kilometer pro Stunde für Knoten 128
00:00:47.537 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0 Kilometer pro Stunde für Knoten 197
00:00:47.737 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 12.500000000000002 Kilometer pro Stunde für Knoten 96
00:00:47.937 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 12.5 Kilometer pro Stunde für Knoten 14
00:00:48.138 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0 Kilometer pro Stunde für Knoten 25
00:00:48.337 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 12.500000000000002 Kilometer pro Stunde für Knoten 168
00:00:48.537 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0 Kilometer pro Stunde für Knoten 134
00:00:48.737 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 7.500000000000001 Kilometer pro Stunde für Knoten 105
00:00:48.838 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 279.99936 Kilometer pro Stunde für Knoten 48
00:00:49.037 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 7.500000000000001 Kilometer pro Stunde für Knoten 95
00:00:49.240 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 12.5 Kilometer pro Stunde für Knoten 202
00:00:49.437 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.0 Kilometer pro Stunde für Knoten 13
00:00:49.537 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 200.00016 Kilometer pro Stunde für Knoten 33
